file,line_number,encoded_length,tagged_length,encoded_line,tagged_line
AskAboutStudyHour.csv,184,14,15,នៅ វិទ្យាល័យ/I-ORG សុីអេដីឌី/I-ORG ការ សិក្សា របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,នៅ/verb វិទ្យាល័យ/noun សុីអេដីឌី/noun ពេល/noun វេលា/noun សិក្សា/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,200,15,14,នៅ សាលារៀន/B-ORG សុីអេដីឌី/I-ORG ពេល វេលា សិក្សា របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,នៅ/verb សាលារៀន/verb សុីអេដីឌី/noun ម៉ោង/noun រៀន/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,208,14,15,នៅ សាលារៀន/B-ORG សុីអេដីឌី/I-ORG ការ សិក្សា របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,នៅ/verb សាលារៀន/verb សុីអេដីឌី/noun ពេល/noun វេលា/noun សិក្សា/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,216,15,14,នៅ សាកល/B-ORG វិទ្យាល័យ/I-ORG CADT/I-ORG ម៉ោង រៀន របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,នៅ/verb សាលារៀន/verb សុីអេដីឌី/noun ការ/noun សិក្សា/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,224,16,15,នៅ សាកល/B-ORG វិទ្យាល័យ/I-ORG CADT/I-ORG ពេល វេលា សិក្សា របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,នៅ/adp សាកល/adj វិទ្យាល័យ/noun CADT/noun ម៉ោង/noun រៀន/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,232,15,16,នៅ សាកល/B-ORG វិទ្យាល័យ/I-ORG CADT/I-ORG ការ សិក្សា របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,នៅ/adp សាកល/adj វិទ្យាល័យ/noun CADT/noun ពេល/noun វេលា/noun សិក្សា/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,248,16,15,ក្នុង សាកល/B-ORG វិទ្យាល័យ/I-ORG សុីអេដីឌី/I-ORG ពេល វេលា សិក្សា របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,ក្នុង/adp សាកល/adj វិទ្យាល័យ/noun សុីអេដីឌី/noun ម៉ោង/noun រៀន/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,256,15,16,ក្នុង សាកល/B-ORG វិទ្យាល័យ/I-ORG សុីអេដីឌី/I-ORG ការ សិក្សា របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,ក្នុង/adp សាកល/adj វិទ្យាល័យ/noun សុីអេដីឌី/noun ពេល/noun វេលា/noun សិក្សា/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,264,14,15,ក្នុង វិទ្យាល័យ/B-ORG CADT/I-ORG ម៉ោង រៀន របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,ក្នុង/adp សាកល/adj វិទ្យាល័យ/noun សុីអេដីឌី/noun ការ/noun សិក្សា/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,272,15,14,ក្នុង វិទ្យាល័យ/B-ORG CADT/I-ORG ពេល វេលា សិក្សា របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,ក្នុង/adp វិទ្យាល័យ/noun CADT/noun ម៉ោង/noun រៀន/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,280,14,15,ក្នុង វិទ្យាល័យ/B-ORG CADT/I-ORG ការ សិក្សា របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,ក្នុង/adp វិទ្យាល័យ/noun CADT/noun ពេល/noun វេលា/noun សិក្សា/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,296,15,14,ក្នុង វិទ្យាល័យ/I-ORG សុីអេដីឌី/I-ORG ពេល វេលា សិក្សា របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,ក្នុង/adp វិទ្យាល័យ/noun សុីអេដីឌី/noun ម៉ោង/noun រៀន/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,304,14,15,ក្នុង វិទ្យាល័យ/I-ORG សុីអេដីឌី/I-ORG ការ សិក្សា របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,ក្នុង/adp វិទ្យាល័យ/noun សុីអេដីឌី/noun ពេល/noun វេលា/noun សិក្សា/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,320,15,14,ក្នុង សាលារៀន/B-ORG សុីអេដីឌី/I-ORG ពេល វេលា សិក្សា របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,ក្នុង/adp សាលារៀន/verb សុីអេដីឌី/noun ម៉ោង/noun រៀន/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,328,14,15,ក្នុង សាលារៀន/B-ORG សុីអេដីឌី/I-ORG ការ សិក្សា របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,ក្នុង/adp សាលារៀន/verb សុីអេដីឌី/noun ពេល/noun វេលា/noun សិក្សា/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,336,15,14,ក្នុង សាកល/B-ORG វិទ្យាល័យ/I-ORG CADT/I-ORG ម៉ោង រៀន របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,ក្នុង/adp សាលារៀន/verb សុីអេដីឌី/noun ការ/noun សិក្សា/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,344,16,15,ក្នុង សាកល/B-ORG វិទ្យាល័យ/I-ORG CADT/I-ORG ពេល វេលា សិក្សា របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,ក្នុង/adp សាកល/adj វិទ្យាល័យ/noun CADT/noun ម៉ោង/noun រៀន/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,352,15,16,ក្នុង សាកល/B-ORG វិទ្យាល័យ/I-ORG CADT/I-ORG ការ សិក្សា របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,ក្នុង/adp សាកល/adj វិទ្យាល័យ/noun CADT/noun ពេល/noun វេលា/noun សិក្សា/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,360,18,15,ខ្ញុំ ចង់ សួរ ថា សាកល/B-ORG វិទ្យាល័យ/I-ORG សុីអេដីឌី/I-ORG ម៉ោង រៀន របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,ក្នុង/adp សាកល/adj វិទ្យាល័យ/noun CADT/noun ការ/noun សិក្សា/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,368,19,18,ខ្ញុំ ចង់ សួរ ថា សាកល/B-ORG វិទ្យាល័យ/I-ORG សុីអេដីឌី/I-ORG ពេល វេលា សិក្សា របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,ខ្ញុំ/pron ចង់/verb សួរ/verb ថា/conj សាកល/adj វិទ្យាល័យ/noun សុីអេដីឌី/noun ម៉ោង/noun រៀន/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,376,18,19,ខ្ញុំ ចង់ សួរ ថា សាកល/B-ORG វិទ្យាល័យ/I-ORG សុីអេដីឌី/I-ORG ការ សិក្សា របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,ខ្ញុំ/pron ចង់/verb សួរ/verb ថា/conj សាកល/adj វិទ្យាល័យ/noun សុីអេដីឌី/noun ពេល/noun វេលា/noun សិក្សា/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,384,17,18,ខ្ញុំ ចង់ សួរ ថា វិទ្យាល័យ/B-ORG CADT/I-ORG ម៉ោង រៀន របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,ខ្ញុំ/pron ចង់/verb សួរ/verb ថា/conj សាកល/adj វិទ្យាល័យ/noun សុីអេដីឌី/noun ការ/noun សិក្សា/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,392,18,17,ខ្ញុំ ចង់ សួរ ថា វិទ្យាល័យ/B-ORG CADT/I-ORG ពេល វេលា សិក្សា របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,ខ្ញុំ/pron ចង់/verb សួរ/verb ថា/conj វិទ្យាល័យ/noun CADT/noun ម៉ោង/noun រៀន/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,400,17,18,ខ្ញុំ ចង់ សួរ ថា វិទ្យាល័យ/B-ORG CADT/I-ORG ការ សិក្សា របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,ខ្ញុំ/pron ចង់/verb សួរ/verb ថា/conj វិទ្យាល័យ/noun CADT/noun ពេល/noun វេលា/noun សិក្សា/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,416,18,17,ខ្ញុំ ចង់ សួរ ថា វិទ្យាល័យ/I-ORG សុីអេដីឌី/I-ORG ពេល វេលា សិក្សា របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,ខ្ញុំ/pron ចង់/verb សួរ/verb ថា/conj វិទ្យាល័យ/noun សុីអេដីឌី/noun ម៉ោង/noun រៀន/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,424,17,18,ខ្ញុំ ចង់ សួរ ថា វិទ្យាល័យ/I-ORG សុីអេដីឌី/I-ORG ការ សិក្សា របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,ខ្ញុំ/pron ចង់/verb សួរ/verb ថា/conj វិទ្យាល័យ/noun សុីអេដីឌី/noun ពេល/noun វេលា/noun សិក្សា/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,440,18,17,ខ្ញុំ ចង់ សួរ ថា សាលារៀន/B-ORG សុីអេដីឌី/I-ORG ពេល វេលា សិក្សា របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,ខ្ញុំ/pron ចង់/verb សួរ/verb ថា/conj សាលារៀន/verb សុីអេដីឌី/noun ម៉ោង/noun រៀន/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,448,17,18,ខ្ញុំ ចង់ សួរ ថា សាលារៀន/B-ORG សុីអេដីឌី/I-ORG ការ សិក្សា របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,ខ្ញុំ/pron ចង់/verb សួរ/verb ថា/conj សាលារៀន/verb សុីអេដីឌី/noun ពេល/noun វេលា/noun សិក្សា/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,456,18,17,ខ្ញុំ ចង់ សួរ ថា សាកល/B-ORG វិទ្យាល័យ/I-ORG CADT/I-ORG ម៉ោង រៀន របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,ខ្ញុំ/pron ចង់/verb សួរ/verb ថា/conj សាលារៀន/verb សុីអេដីឌី/noun ការ/noun សិក្សា/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,464,19,18,ខ្ញុំ ចង់ សួរ ថា សាកល/B-ORG វិទ្យាល័យ/I-ORG CADT/I-ORG ពេល វេលា សិក្សា របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,ខ្ញុំ/pron ចង់/verb សួរ/verb ថា/conj សាកល/adj វិទ្យាល័យ/noun CADT/noun ម៉ោង/noun រៀន/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,472,18,19,ខ្ញុំ ចង់ សួរ ថា សាកល/B-ORG វិទ្យាល័យ/I-ORG CADT/I-ORG ការ សិក្សា របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,ខ្ញុំ/pron ចង់/verb សួរ/verb ថា/conj សាកល/adj វិទ្យាល័យ/noun CADT/noun ពេល/noun វេលា/noun សិក្សា/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,480,19,18,អាច ប្រាប់ បាន ទេ ថា សាកល/B-ORG វិទ្យាល័យ/I-ORG សុីអេដីឌី/I-ORG ម៉ោង រៀន របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,ខ្ញុំ/pron ចង់/verb សួរ/verb ថា/conj សាកល/adj វិទ្យាល័យ/noun CADT/noun ការ/noun សិក្សា/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,488,20,19,អាច ប្រាប់ បាន ទេ ថា សាកល/B-ORG វិទ្យាល័យ/I-ORG សុីអេដីឌី/I-ORG ពេល វេលា សិក្សា របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,អាច/verb ប្រាប់/verb បាន/verb ទេ/prt ថា/conj សាកល/adj វិទ្យាល័យ/noun សុីអេដីឌី/noun ម៉ោង/noun រៀន/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,496,19,20,អាច ប្រាប់ បាន ទេ ថា សាកល/B-ORG វិទ្យាល័យ/I-ORG សុីអេដីឌី/I-ORG ការ សិក្សា របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,អាច/verb ប្រាប់/verb បាន/verb ទេ/prt ថា/conj សាកល/adj វិទ្យាល័យ/noun សុីអេដីឌី/noun ពេល/noun វេលា/noun សិក្សា/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,504,18,19,អាច ប្រាប់ បាន ទេ ថា វិទ្យាល័យ/B-ORG CADT/I-ORG ម៉ោង រៀន របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,អាច/verb ប្រាប់/verb បាន/verb ទេ/prt ថា/conj សាកល/adj វិទ្យាល័យ/noun សុីអេដីឌី/noun ការ/noun សិក្សា/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,512,19,18,អាច ប្រាប់ បាន ទេ ថា វិទ្យាល័យ/B-ORG CADT/I-ORG ពេល វេលា សិក្សា របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,អាច/verb ប្រាប់/verb បាន/verb ទេ/prt ថា/conj វិទ្យាល័យ/noun CADT/noun ម៉ោង/noun រៀន/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,520,18,19,អាច ប្រាប់ បាន ទេ ថា វិទ្យាល័យ/B-ORG CADT/I-ORG ការ សិក្សា របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,អាច/verb ប្រាប់/verb បាន/verb ទេ/prt ថា/conj វិទ្យាល័យ/noun CADT/noun ពេល/noun វេលា/noun សិក្សា/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,536,19,18,អាច ប្រាប់ បាន ទេ ថា វិទ្យាល័យ/I-ORG សុីអេដីឌី/I-ORG ពេល វេលា សិក្សា របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,អាច/verb ប្រាប់/verb បាន/verb ទេ/prt ថា/conj វិទ្យាល័យ/noun សុីអេដីឌី/noun ម៉ោង/noun រៀន/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,544,18,19,អាច ប្រាប់ បាន ទេ ថា វិទ្យាល័យ/I-ORG សុីអេដីឌី/I-ORG ការ សិក្សា របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,អាច/verb ប្រាប់/verb បាន/verb ទេ/prt ថា/conj វិទ្យាល័យ/noun សុីអេដីឌី/noun ពេល/noun វេលា/noun សិក្សា/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,560,19,18,អាច ប្រាប់ បាន ទេ ថា សាលារៀន/B-ORG សុីអេដីឌី/I-ORG ពេល វេលា សិក្សា របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,អាច/verb ប្រាប់/verb បាន/verb ទេ/prt ថា/conj សាលារៀន/verb សុីអេដីឌី/noun ម៉ោង/noun រៀន/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,568,18,19,អាច ប្រាប់ បាន ទេ ថា សាលារៀន/B-ORG សុីអេដីឌី/I-ORG ការ សិក្សា របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,អាច/verb ប្រាប់/verb បាន/verb ទេ/prt ថា/conj សាលារៀន/verb សុីអេដីឌី/noun ពេល/noun វេលា/noun សិក្សា/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,576,19,18,អាច ប្រាប់ បាន ទេ ថា សាកល/B-ORG វិទ្យាល័យ/I-ORG CADT/I-ORG ម៉ោង រៀន របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,អាច/verb ប្រាប់/verb បាន/verb ទេ/prt ថា/conj សាលារៀន/verb សុីអេដីឌី/noun ការ/noun សិក្សា/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,584,20,19,អាច ប្រាប់ បាន ទេ ថា សាកល/B-ORG វិទ្យាល័យ/I-ORG CADT/I-ORG ពេល វេលា សិក្សា របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,អាច/verb ប្រាប់/verb បាន/verb ទេ/prt ថា/conj សាកល/adj វិទ្យាល័យ/noun CADT/noun ម៉ោង/noun រៀន/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,592,19,20,អាច ប្រាប់ បាន ទេ ថា សាកល/B-ORG វិទ្យាល័យ/I-ORG CADT/I-ORG ការ សិក្សា របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,អាច/verb ប្រាប់/verb បាន/verb ទេ/prt ថា/conj សាកល/adj វិទ្យាល័យ/noun CADT/noun ពេល/noun វេលា/noun សិក្សា/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,600,17,19,សូម សួរ បន្តិច សាកល/B-ORG វិទ្យាល័យ/I-ORG សុីអេដីឌី/I-ORG ម៉ោង រៀន របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,អាច/verb ប្រាប់/verb បាន/verb ទេ/prt ថា/conj សាកល/adj វិទ្យាល័យ/noun CADT/noun ការ/noun សិក្សា/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
AskAboutStudyHour.csv,608,18,17,សូម សួរ បន្តិច សាកល/B-ORG វិទ្យាល័យ/I-ORG សុីអេដីឌី/I-ORG ពេល វេលា សិក្សា របស់ សិស្សានុសិស្ស នៅ ទី នោះ រៀន ថេរ វេលា ប៉ុន្មាន,សូម/verb សួរ/verb បន្តិច/adj សាកល/adj វិទ្យាល័យ/noun សុីអេដីឌី/noun ម៉ោង/noun រៀន/verb របស់/adp សិស្ស/noun នៅ/adp ទី/noun នោះ/det រៀនរយះ/verb ពេល/noun ប៉ុន្មាន/adv ម៉ោង/noun
